date,Agropecuária,Indústria,Infraestrutura,Comércio e serviços,Total
1995-01-01,254.64626971652382,911.8650040474503,955.1167620257338,88.6878963477996,2210.3159321375074
1995-02-01,182.77752431156847,1188.4637175299085,276.1920486515963,126.79685896891318,1774.2301494619865
1995-03-01,485.9705973007369,1605.1843073597752,473.90841248359163,171.50630467503237,2736.5696218191365
1995-04-01,357.33431572746116,1178.1184948362393,376.8647092310967,187.79083891194418,2100.1083587067415
1995-05-01,460.881653879502,1854.0505135668998,662.2068734234095,221.56287862692994,3198.701919496741
1995-06-01,276.74294653630244,1562.9214384548159,502.0448224636723,232.26485637669825,2573.9740638314893
1995-07-01,209.79346728044064,1336.6490613042881,450.70720037460165,237.42053913056165,2234.570268089892
1995-08-01,233.9544814547805,1346.7898655404601,419.48649529472164,185.18601016516695,2185.416852455129
1995-09-01,225.15208223427558,1307.0362346025372,663.3857044282797,181.1011537313087,2376.6751749964014
1995-10-01,227.41896175104787,1816.0589313372964,570.628870573437,308.32172715768945,2922.428490819471
1995-11-01,242.53779278966175,1895.8889251072078,361.5188831015791,309.0193016300554,2808.9649026285038
1995-12-01,275.15468533063114,2712.38723709125,2401.2857746714794,200.91141781799013,5589.73911491135
1996-01-01,181.8596363894819,867.8132164728058,1276.1087937943544,184.13248465348389,2509.914131310126
1996-02-01,140.13002993472026,1622.1027172158376,1054.3315754765792,174.09653636713978,2990.6608589942766
1996-03-01,369.11240762227175,1838.7606842346618,474.193632075843,315.681742475364,2997.7484664081408
1996-04-01,186.78315575491953,1364.1253362683349,327.68796779042725,207.51207978651334,2086.108539600195
1996-05-01,198.04045689841047,1479.4863726424796,1410.254026952868,2282.182533449853,5369.96338994361
1996-06-01,397.83850187339294,1593.5446269679287,239.62450281243946,256.7324425907038,2487.7400742444647
1996-07-01,364.8005321646518,1348.5843895228777,982.6201612541304,454.45382165859644,3150.4589046002566
1996-08-01,284.42844676347136,1307.8324665440518,506.01267654211983,332.72569793149387,2430.999287781137
1996-09-01,234.85409279460825,1521.7315127676156,1414.7850045763228,416.3715742828727,3587.7421844214196
1996-10-01,167.61949275171446,983.7843107913992,813.632614621441,427.8917612184746,2392.928179383029
1996-11-01,208.92624503533926,1192.4535249002138,978.4585832062169,514.4902578323805,2894.3286109741503
1996-12-01,200.44837944482467,2471.1169209453133,2521.4733167681534,764.7233446462062,5957.761961804497
1997-01-01,128.29590165329898,1277.899328032141,1405.7559412072537,260.48317507736976,3072.4343459700635
1997-02-01,231.50190018732187,910.7835306519557,443.76876117614984,256.6333447784023,1842.6875367938296
1997-03-01,302.9783705313498,833.996970227972,1203.9719989242167,376.3311424837244,2717.2784821672626
1997-04-01,407.6391308978937,1375.0383781732792,1019.6479408400484,431.86144242240914,3234.1868923336306
1997-05-01,490.54820309946405,3683.7613001838527,659.1949175691271,402.0989010029431,5235.603321855388
1997-06-01,670.9359421277779,1758.6116506415995,3374.3265915730885,519.9293132266708,6323.803497569137
1997-07-01,510.20149165543836,3428.157841982475,843.7871538127687,368.70980618903235,5150.856293639714
1997-08-01,164.08777400929077,1917.0036817314767,2766.67225777857,346.19279259939003,5193.956506118728
1997-09-01,836.0841359289694,2019.7215987841498,4466.282057318403,771.8161679380837,8093.903959969605
1997-10-01,468.6525857477924,2505.7560444994724,2446.626502114556,565.2289135093606,5986.264045871181
1997-11-01,482.88393977429956,2303.4652741942928,5626.664392482533,1036.1264527780136,9449.140059229137
1997-12-01,527.2670141268834,3412.2988546571573,5955.020570008513,883.354928820994,10777.941367613548
1998-01-01,216.78725401879123,1779.1560447523373,1356.582142917832,371.35607546498613,3723.8815171539463
1998-02-01,527.5570345282487,1766.6674513900334,2121.874962270078,555.4415462249884,4971.540994413348
1998-03-01,509.39564722454236,2420.587710269433,1146.6382835992415,480.71698214627503,4557.338623239491
1998-04-01,265.76891588085266,1691.6427224804322,5721.843697742833,406.4705037378687,8085.725839841986
1998-05-01,270.2750831857421,2014.3008666360165,1261.4217900901942,519.8105065204071,4065.8082464323597
1998-06-01,265.9526645952361,2223.7112612100595,3712.369706713198,788.2712747726804,6990.304907291174
1998-07-01,395.90681164419436,2007.3195642897613,3088.060947752222,852.0245664714105,6343.311890157588
1998-08-01,247.7557593344373,3152.3948059976133,3104.3122836343437,944.0157597101087,7448.4786086765025
1998-09-01,603.5123646861946,3049.582173295159,2878.837793056203,639.0301091355788,7170.962440173135
1998-10-01,389.21544813157846,1605.3658713615766,1725.6217804227188,1009.778951493911,4729.9820514097855
1998-11-01,703.0599072155061,2759.822846907064,1279.6571136436173,689.7736444321695,5432.313512198356
1998-12-01,529.3708011402479,2834.9627043899113,1407.355578309715,998.7157038468097,5770.404787686683
1999-01-01,322.01720674819495,1764.3377601334769,554.3090354382107,374.156821045557,3014.8208233654395
1999-02-01,254.3470787112776,2455.2123362154457,595.2298429060892,443.8055380522583,3748.5947958850707
1999-03-01,486.0541662821283,2424.666464082821,1896.9907719072162,957.3890468719948,5765.10044914416
1999-04-01,324.85719753326674,2030.2135840117194,1003.4003907673606,286.67839827637385,3645.14957058872
1999-05-01,377.65571116433966,1946.0688865107165,812.7627228482062,479.41238919876616,3615.8997097220285
1999-06-01,362.09125862893956,3319.456478203885,1720.2146137234386,348.1757647596899,5749.938115315953
1999-07-01,456.4270891605224,2061.593938351517,714.4735271319752,513.2129575941292,3745.707512238144
1999-08-01,410.7173692348197,2493.206472743138,1778.8125262955323,517.466022264699,5200.202390538189
1999-09-01,321.17684485667195,2092.6038060033925,1033.5970684434735,825.848728647249,4273.226447950787
